Mandante	Material	Sales Organization	Distribution Channel	Grid Value	Core Assortment Start Date	Core Collection Start Date	Core Assortment End Date	Core Collection End Date
100	103620			IPR5315		01/02/2021		31/08/2021
100	103648			0005618		01/02/2021		31/08/2021
100	202730			08655DG		01/02/2021		31/08/2021
100	203257			EPZ55QT		01/02/2021		31/08/2021
100	203257			KB755IR		01/02/2021		31/08/2021
100	203258			08656KU		01/02/2021		31/08/2021
100	203258			80756IR		01/02/2021		31/08/2021
100	203259			08A54IR		01/02/2021		31/08/2021
100	203260			08A58IR		01/02/2021		31/08/2021
100	203260			HJV58HA		01/02/2021		31/08/2021
100	203260			WR758G4		01/02/2021		31/08/2021
100	203263			08657HA		01/02/2021		31/08/2021
100	203263			807579O		01/02/2021		31/08/2021
100	103386			Y3R5239		01/02/2021		31/08/2021
100	103389			SR85216		01/02/2021		31/08/2021
100	103391			S6F5417		01/02/2021		31/08/2021
100	103795			1ZX5336		01/02/2021		31/08/2021
100	103795			6AK5336		01/02/2021		31/08/2021
100	103797			1ZX5216		01/02/2021		31/08/2021
100	103798			2M25139		01/02/2021		31/08/2021
100	103798			3YZ5139		01/02/2021		31/08/2021
100	103798			PEF5139		01/02/2021		31/08/2021
100	103799			5815020		01/02/2021		31/08/2021
100	103799			F745020		01/02/2021		31/08/2021
100	103799			S615020		01/02/2021		31/08/2021
100	103799			W665020		01/02/2021		31/08/2021
100	103800			8075317		01/02/2021		31/08/2021
100	103800			LHF5317		01/02/2021		31/08/2021
100	103800			PJP5317		01/02/2021		31/08/2021
100	103802			0865238		01/02/2021		31/08/2021
100	103802			8075238		01/02/2021		31/08/2021
100	103802			8CQ5238		01/02/2021		31/08/2021
100	103802			PJP5238		01/02/2021		31/08/2021
100	103803			0865436		01/02/2021		31/08/2021
100	103803			8075436		01/02/2021		31/08/2021
100	103803			LHF5436		01/02/2021		31/08/2021
100	103803			MR85436		01/02/2021		31/08/2021
100	103803			PJP5436		01/02/2021		31/08/2021
100	103804			Y3R5217		01/02/2021		31/08/2021
100	103832			2M25217		01/02/2021		31/08/2021
100	103832			6RD5217		01/02/2021		31/08/2021
100	103832			EYR5217		01/02/2021		31/08/2021
100	203412			2M255IR		01/02/2021		31/08/2021
100	203414			58155IR		01/02/2021		31/08/2021
100	203414			F7455U1		01/02/2021		31/08/2021
100	203414			L8155IE		01/02/2021		31/08/2021
100	203416			80751IR		01/02/2021		31/08/2021
100	203419			J5G52DG		01/02/2021		31/08/2021
100	203419			V8152HA		01/02/2021		31/08/2021
100	203414			FGV55U1		01/02/2021		31/08/2021
100	203416			08651QT		01/02/2021		31/08/2021
100	103688			0865817		01/02/2021		31/08/2021
100	103688			8075617		01/02/2021		31/08/2021
100	103688			KB75817		01/02/2021		31/08/2021
100	103689			6LB5818		01/02/2021		31/08/2021
